chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
15,J 15:20,D,[ADD],κατ ιωαν,addition,εμε εδιωξαν και ϋμας διωξουσιν ει τον λογον μου ετηρη,εμε εδιωξαν και ϋμας διωξουσιν κατ ιωαν ει τον λογον μου ετηρησαν
15,J 15:20,D,ετηρη σαν,ετηρησαν,substitution_morphological,διωξουσιν ει τον λογον μου ετηρη σαν και τον ϋμε τερον τηρησωσι¯,ιωαν ει τον λογον μου ετηρησαν και τον ϋμετερον τηρησουσιν
15,J 15:20,D,ϋμε τερον τηρησωσι¯,ϋμετερον τηρησουσιν,substitution_morphological,μου ετηρη σαν και τον ϋμε τερον τηρησωσι¯,λογον μου ετηρησαν και τον ϋμετερον τηρησουσιν
15,J 15:21,P66,ταυτα,ταυ τα,substitution_morphological,αλλα ταυτα παντα ποιησουσιν εις υμας δια,αλλα ταυ τα παντα ποιουσιν εις υμας δια
15,J 15:21,P66,ποιησουσιν,ποιουσιν,substitution_morphological,αλλα ταυτα παντα ποιησουσιν εις υμας δια το ονομα,αλλα ταυ τα παντα ποιουσιν εις υμας δια το ονομα
15,J 15:21,P66,ου κ οιδασιν,ουκ οιδασι,substitution_morphological,δια το ονομα μου οτι ου κ οιδασιν τον πεμ ψαντα με,δια το ονομα μου οτι ουκ οιδασι τον πεμ ψαντα με'
15,J 15:21,P66,με,με',substitution_morphological,κ οιδασιν τον πεμ ψαντα με,ουκ οιδασι τον πεμ ψαντα με'
15,J 15:21,A,εις υμας,υμιν,substitution_lexical,αλλα ταυτα παντα ποιησουσιν εις υμας δια το ονομα μου οτι,Αλλα ταυτα παντα ποιησουσιν υμιν δια το ονομα μου οτι
15,J 15:21,A,ου κ οιδασιν,ουκ οι δασιν,substitution_morphological,δια το ονομα μου οτι ου κ οιδασιν τον πεμ ψαντα με,δια το ονομα μου οτι ουκ οι δασιν τον πεμψαντα με
15,J 15:21,A,πεμ ψαντα,πεμψαντα,substitution_morphological,οτι ου κ οιδασιν τον πεμ ψαντα με,οτι ουκ οι δασιν τον πεμψαντα με
15,J 15:21,B,ποιησουσιν,ποι ησουσιν,substitution_morphological,αλλα ταυτα παντα ποιησουσιν εις υμας δια το ονομα,αλλα ταυτα παντα ποι ησουσιν εις ϋμας δια το ονομα
15,J 15:21,B,ου κ οιδασιν,ουκ οι δασι,substitution_morphological,δια το ονομα μου οτι ου κ οιδασιν τον πεμ ψαντα με,δια το ονομα μου οτι ουκ οι δασι τον πεμψαντα με
15,J 15:21,B,πεμ ψαντα,πεμψαντα,substitution_morphological,οτι ου κ οιδασιν τον πεμ ψαντα με,οτι ουκ οι δασι τον πεμψαντα με
15,J 15:21,D,παντα,[OMIT],omission,αλλα ταυτα παντα ποιησουσιν εις υμας δια το,αλλα ταυτα ποιησουσιν εις ϋμας ϋμιν δια
15,J 15:21,D,υμας,ϋμας ϋμιν,substitution_morphological,αλλα ταυτα παντα ποιησουσιν εις υμας δια το ονομα μου οτι,αλλα ταυτα ποιησουσιν εις ϋμας ϋμιν δια το ονομα μου οτι
15,J 15:21,D,ου κ,ουκ,substitution_morphological,δια το ονομα μου οτι ου κ οιδασιν τον πεμ ψαντα με,δια το ονομα μου οτι ουκ οιδασιν τον πεμψαντα με
15,J 15:21,D,πεμ ψαντα,πεμψαντα,substitution_morphological,οτι ου κ οιδασιν τον πεμ ψαντα με,μου οτι ουκ οιδασιν τον πεμψαντα με
15,J 15:22,P66,ηλ θον,ηλθον,substitution_morphological,ει μη ηλ θον και ελαλησα αυτοις αμαρτιαν ου,ει μη ηλθον και ελαλη σα αυτοις αμαρτιαν
15,J 15:22,P66,ελαλησα,ελαλη σα,substitution_morphological,ει μη ηλ θον και ελαλησα αυτοις αμαρτιαν ου κ ειχοσαν,ει μη ηλθον και ελαλη σα αυτοις αμαρτιαν ουκ ειχοσαν νυν
15,J 15:22,P66,ου κ,ουκ,substitution_morphological,θον και ελαλησα αυτοις αμαρτιαν ου κ ειχοσαν νυν δε προ φασιν,και ελαλη σα αυτοις αμαρτιαν ουκ ειχοσαν νυν δε προφασιν ουκ
15,J 15:22,P66,προ φασιν,προφασιν,substitution_morphological,ου κ ειχοσαν νυν δε προ φασιν ουκ εχουσι¯ περι της αμαρτιας,αμαρτιαν ουκ ειχοσαν νυν δε προφασιν ουκ εχουσιν πε ρι της
15,J 15:22,P66,εχουσι¯ περι,εχουσιν πε ρι,substitution_morphological,νυν δε προ φασιν ουκ εχουσι¯ περι της αμαρτιας αυτων,ειχοσαν νυν δε προφασιν ουκ εχουσιν πε ρι της αμαρτιας αυτων
15,J 15:22,A,ηλ θον,ηλθον,substitution_morphological,ει μη ηλ θον και ελαλησα αυτοις αμαρτιαν ου,Ει μη ηλθον και ελαλησα αυτοις αμαρτιαν ουκ
15,J 15:22,A,ου κ ειχοσαν,ουκ ειχον,substitution_morphological,θον και ελαλησα αυτοις αμαρτιαν ου κ ειχοσαν νυν δε προ φασιν ουκ,ηλθον και ελαλησα αυτοις αμαρτιαν ουκ ειχον νυν δε προ φασιν ουκ
15,J 15:22,A,εχουσι¯,εχουσιν,substitution_morphological,νυν δε προ φασιν ουκ εχουσι¯ περι της αμαρτιας αυτων,νυν δε προ φασιν ουκ εχουσιν περι της αμαρ τιας αυτων
15,J 15:22,A,αμαρτιας,αμαρ τιας,substitution_morphological,φασιν ουκ εχουσι¯ περι της αμαρτιας αυτων,φασιν ουκ εχουσιν περι της αμαρ τιας αυτων
15,J 15:22,B,ηλ θον,ηλθον,substitution_morphological,ει μη ηλ θον και ελαλησα αυτοις αμαρτιαν ου,ει μη ηλθον και ελα †λησα αυτοις αμαρτια¯
15,J 15:22,B,ελαλησα,ελα †λησα,substitution_morphological,ει μη ηλ θον και ελαλησα αυτοις αμαρτιαν ου κ ειχοσαν,ει μη ηλθον και ελα †λησα αυτοις αμαρτια¯ ουκ ειχοσαν νυν
15,J 15:22,B,αμαρτιαν ου κ,αμαρτια¯ ουκ,substitution_morphological,ηλ θον και ελαλησα αυτοις αμαρτιαν ου κ ειχοσαν νυν δε προ φασιν,ηλθον και ελα †λησα αυτοις αμαρτια¯ ουκ ειχοσαν νυν δε προφασιν ουκ
15,J 15:22,B,προ φασιν,προφασιν,substitution_morphological,ου κ ειχοσαν νυν δε προ φασιν ουκ εχουσι¯ περι της αμαρτιας,αμαρτια¯ ουκ ειχοσαν νυν δε προφασιν ουκ εχου σιν περι της
15,J 15:22,B,εχουσι¯,εχου σιν,substitution_morphological,νυν δε προ φασιν ουκ εχουσι¯ περι της αμαρτιας αυτων,ειχοσαν νυν δε προφασιν ουκ εχου σιν περι της αμαρτιας αυτων
15,J 15:22,D,ηλ θον,ηλθον,substitution_morphological,ει μη ηλ θον και ελαλησα αυτοις αμαρτιαν ου,ει μη ηλθον και ελαλησα αυτοις αμαρτιαν ουκ
15,J 15:22,D,ου κ ειχοσαν,ουκ ειχαν ειχον,substitution_morphological,θον και ελαλησα αυτοις αμαρτιαν ου κ ειχοσαν νυν δε προ φασιν ουκ,ηλθον και ελαλησα αυτοις αμαρτιαν ουκ ειχαν ειχον νυν δε προφασιν ουκ εχουσιν
15,J 15:22,D,προ φασιν,προφασιν,substitution_morphological,ου κ ειχοσαν νυν δε προ φασιν ουκ εχουσι¯ περι της αμαρτιας,ουκ ειχαν ειχον νυν δε προφασιν ουκ εχουσιν περι της αμαρτιας
15,J 15:22,D,εχουσι¯,εχουσιν,substitution_morphological,νυν δε προ φασιν ουκ εχουσι¯ περι της αμαρτιας αυτων,ειχον νυν δε προφασιν ουκ εχουσιν περι της αμαρτιας αυτων
15,J 15:23,P66,μει σων,μισων,substitution_morphological,ο εμε μει σων και τον πατε ρα μου,ο εμε μισων και τον πρα μου μισει
15,J 15:23,P66,πατε ρα,πρα,substitution_morphological,εμε μει σων και τον πατε ρα μου μισει,ο εμε μισων και τον πρα μου μισει
15,J 15:23,A,μει σων και,μεισων Και,substitution_morphological,ο εμε μει σων και τον πατε ρα μου μισει,ο εμε μεισων Και τον πρα μου μισει
15,J 15:23,A,πατε ρα,πρα,substitution_morphological,εμε μει σων και τον πατε ρα μου μισει,ο εμε μεισων Και τον πρα μου μισει
15,J 15:23,B,μει σων,μεισων,substitution_morphological,ο εμε μει σων και τον πατε ρα μου,ο εμε μεισων και τον πατερα μου μει
15,J 15:23,B,πατε ρα,πατερα,substitution_morphological,εμε μει σων και τον πατε ρα μου μισει,ο εμε μεισων και τον πατερα μου μει σει
15,J 15:23,B,μισει,μει σει,substitution_morphological,και τον πατε ρα μου μισει,μεισων και τον πατερα μου μει σει
15,J 15:23,D,μει σων,μεισων,substitution_morphological,ο εμε μει σων και τον πατε ρα μου,ο εμε μεισων και τον πατερα μου μεισει
15,J 15:23,D,πατε ρα,πατερα,substitution_morphological,εμε μει σων και τον πατε ρα μου μισει,ο εμε μεισων και τον πατερα μου μεισει
15,J 15:24,P66,εποιησα,ε' ποιησα,substitution_morphological,ει τα εργα μη εποιησα εν αυτοις α ουδις αλ,ει τα εργα μη ε' ποιησα εν αυτοις α μηδ αλ'λος
15,J 15:24,P66,ουδις αλ λος,μηδ αλ'λος,substitution_morphological,μη εποιησα εν αυτοις α ουδις αλ λος εποιησεν α μαρτιαν ουκ ειχο,ε' ποιησα εν αυτοις α μηδ αλ'λος εποιησεν αμαρτιαν ουκ ειχοσαν νυν
15,J 15:24,P66,α μαρτιαν,αμαρτιαν,substitution_morphological,α ουδις αλ λος εποιησεν α μαρτιαν ουκ ειχο σαν νυν δε,αυτοις α μηδ αλ'λος εποιησεν αμαρτιαν ουκ ειχοσαν νυν δε και
15,J 15:24,P66,ειχο σαν,ειχοσαν,substitution_morphological,λος εποιησεν α μαρτιαν ουκ ειχο σαν νυν δε και ε ωρακασιν,μηδ αλ'λος εποιησεν αμαρτιαν ουκ ειχοσαν νυν δε και εορακασιν και
15,J 15:24,P66,ε ωρακασιν,εορακασιν,substitution_morphological,ειχο σαν νυν δε και ε ωρακασιν και με μισηκασι και ε,ουκ ειχοσαν νυν δε και εορακασιν και μεμει σηκασιν εμε και
15,J 15:24,P66,με μισηκασι και ε με,μεμει σηκασιν εμε,substitution_morphological,δε και ε ωρακασιν και με μισηκασι και ε με και τον πατερα μου,νυν δε και εορακασιν και μεμει σηκασιν εμε και τον πρα μου'
15,J 15:24,P66,πατερα μου,πρα μου',substitution_morphological,και ε με και τον πατερα μου,μεμει σηκασιν εμε και τον πρα μου'
15,J 15:24,A,ουδις αλ λος,ουδεις αλλος,substitution_morphological,μη εποιησα εν αυτοις α ουδις αλ λος εποιησεν α μαρτιαν ουκ ειχο,μη εποιησα εν αυτοις α ουδεις αλλος εποιησεν αμαρ τιαν ουκ ειχον
15,J 15:24,A,α μαρτιαν,αμαρ τιαν,substitution_morphological,α ουδις αλ λος εποιησεν α μαρτιαν ουκ ειχο σαν νυν δε,αυτοις α ουδεις αλλος εποιησεν αμαρ τιαν ουκ ειχον νυν δε και
15,J 15:24,A,ειχο σαν,ειχον,substitution_morphological,λος εποιησεν α μαρτιαν ουκ ειχο σαν νυν δε και ε ωρακασιν,αλλος εποιησεν αμαρ τιαν ουκ ειχον νυν δε και εω ρακασιν
15,J 15:24,A,ε ωρακασιν,εω ρακασιν,substitution_morphological,ειχο σαν νυν δε και ε ωρακασιν και με μισηκασι και ε,ουκ ειχον νυν δε και εω ρακασιν και μεμισηκασιν και εμε και
15,J 15:24,A,με μισηκασι,μεμισηκασιν,substitution_morphological,δε και ε ωρακασιν και με μισηκασι και ε με και τον,δε και εω ρακασιν και μεμισηκασιν και εμε και τον πρα
15,J 15:24,A,ε με,εμε,substitution_morphological,ωρακασιν και με μισηκασι και ε με και τον πατερα μου,εω ρακασιν και μεμισηκασιν και εμε και τον πρα μου
15,J 15:24,A,πατερα,πρα,substitution_morphological,και ε με και τον πατερα μου,μεμισηκασιν και εμε και τον πρα μου
