chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
6,J 6:38,aleph,ουρα νου,ουρανου,substitution_morphological,οτι κατα βεβηκα απο του ουρα νου ουχ ινα ποιω το θε,οτι καταβεβη κα εκ του ουρανου ουχ ϊνα ποιησω το θελημα
6,J 6:38,aleph,ινα ποιω,ϊνα ποιησω,substitution_morphological,απο του ουρα νου ουχ ινα ποιω το θε λημα το εμον,κα εκ του ουρανου ουχ ϊνα ποιησω το θελημα το εμον αλλα
6,J 6:38,aleph,θε λημα,θελημα,substitution_morphological,νου ουχ ινα ποιω το θε λημα το εμον αλλα το θελημα,ουρανου ουχ ϊνα ποιησω το θελημα το εμον αλλα το θελημα
6,J 6:38,aleph,πεμψαν τος,πεμψαντος,substitution_morphological,εμον αλλα το θελημα του πεμψαν τος με,εμον αλλα το θελημα του πεμψαντος με
6,J 6:38,A,κατα βεβηκα,καταβεβηκα,substitution_morphological,οτι κατα βεβηκα απο του ουρα νου ουχ,οτι καταβεβηκα απο του ουνου ουχ ινα
6,J 6:38,A,ουρα νου,ουνου,substitution_morphological,οτι κατα βεβηκα απο του ουρα νου ουχ ινα ποιω το θε,οτι καταβεβηκα απο του ουνου ουχ ινα ποιω το θελημα
6,J 6:38,A,θε λημα,θελημα,substitution_morphological,νου ουχ ινα ποιω το θε λημα το εμον αλλα το θελημα,ουνου ουχ ινα ποιω το θελημα το εμο¯ αλλα το θελημα
6,J 6:38,A,εμον,εμο¯,substitution_morphological,ποιω το θε λημα το εμον αλλα το θελημα του πεμψαν,ινα ποιω το θελημα το εμο¯ αλλα το θελημα του πεμψαντος
6,J 6:38,A,πεμψαν τος,πεμψαντος,substitution_morphological,εμον αλλα το θελημα του πεμψαν τος με,εμο¯ αλλα το θελημα του πεμψαντος με
6,J 6:38,D,κατα βεβηκα απο,καταβεβηκα εκ,substitution_morphological,οτι κατα βεβηκα απο του ουρα νου ουχ ινα,οτι καταβεβηκα εκ του ουρανου ουχ ϊνα ποιησω
6,J 6:38,D,ουρα νου,ουρανου,substitution_morphological,οτι κατα βεβηκα απο του ουρα νου ουχ ινα ποιω το θε,οτι καταβεβηκα εκ του ουρανου ουχ ϊνα ποιησω το θελημα
6,J 6:38,D,ινα ποιω,ϊνα ποιησω,substitution_morphological,απο του ουρα νου ουχ ινα ποιω το θε λημα το εμον,καταβεβηκα εκ του ουρανου ουχ ϊνα ποιησω το θελημα το εμον αλλα
