chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
11,J 11:19,A,[ADD],αυτων,addition,σωνται αυτας περι του αδελφου,παραμυθησωνται αυτας περι του αδελφου αυτων
11,J 11:19,D,την,[OMIT],omission,εκ των ϊουδαιων εληλυθεισα¯ προς την μαρθαν και μαριαμ ϊνα παραμυθη,εκ των ϊεροσολυμων εληλυθεισαν προς μαρθαν και μαριαμ ϊνα παραμυθησωνται
11,J 11:20,P66,οτι,ο τι,substitution_morphological,ουν μαρ †θα ως ηκουσεν οτι ις ερχεται ϋπηντησεν αυτω μαρια,η ουν μαρθα ως ηκουσεν ο τι ις ερχεται ϋπηντησεν αυτω μα
11,J 11:21,A,η,[OMIT],omission,ειπε¯ ουν η μαρθα προς ιν ει ης,ειπεν ουν μαρθα προς τον ιν κε
11,J 11:21,A,[ADD],τον,addition,ειπε¯ ουν η μαρθα προς ιν ει ης ωδε ουκ,ειπεν ουν μαρθα προς τον ιν κε ει ης ωδε
11,J 11:22,aleph,[ADD],αλλα,addition,και νυν οιδα οτι οσα,αλλα και νυν οιδα οτι οσα
11,J 11:22,A,[ADD],αλλα,addition,και νυν οιδα οτι οσα,αλλα και νυν οιδα οτι οσα
11,J 11:22,D,[ADD],αλλα,addition,και νυν οιδα οτι οσα,αλλα και νυν οιδα οτι οσα
11,J 11:23,A,ο,[OMIT],omission,λεγει αυτη ο ις α †ναστησεται ο αδελφος,λεγει αυτη ις αναστησεται ο αδελφος σου
11,J 11:23,D,σου,[OMIT],omission,ις α †ναστησεται ο αδελφος σου,ιης αναστησαιται σου ο αδελφος
11,J 11:25,aleph,[ADD],δε,addition,ειπεν αυτη ο ις εγω ει,ειπεν δε αυτη ο ις εγω ειμι
11,J 11:27,A,ο τι,οτι,substitution_morphological,ναι κε εγω πιστευω πεπιστευκα ο τι συ ει ο χς ο,αυτω ο ις εγω πεπιστευκα οτι συ ει ο χς ο
11,J 11:27,D,αυτω,[OMIT],omission,λεγει αυτω ναι κε εγω πιστευω πεπιστευκα,λεγει ναι κε εγω πεπιστευκα οτι
11,J 11:27,D,ο τι,οτι,substitution_morphological,ναι κε εγω πιστευω πεπιστευκα ο τι συ ει ο χς ο,λεγει ναι κε εγω πεπιστευκα οτι συ ει ο χρς ο
11,J 11:28,P66,[ADD],οτι,addition,τη¯ αδελφην αυτης λαθρα ειπασα ο διδασκαλος παρεστιν και φωνει,αδελ φην αυτης λαθρα ειπασα οτι ο δι δασκαλος παρεστιν και
11,J 11:29,A,δε,[OMIT],omission,εκεινη δε ως ηκουσε¯ ηγερθη ταχυ και,εκεινη ως ηκουσε¯ εγειρετε ταχυ και
11,J 11:29,D,δε,[OMIT],omission,εκεινη δε ως ηκουσε¯ ηγερθη ταχυ και,εκεινη ως ηκουσεν ηγερθη ταχυ και
11,J 11:30,P66,εν,επι,substitution_lexical,τη¯ κωμην αλλ ην ετι εν τω τοπω οπου ϋπην τησεν,κω μην αλ'λα ην ετι επι τω τοπω οπου ϋπηντησεν αυτω
11,J 11:30,A,ετι,[OMIT],omission,εις τη¯ κωμην αλλ ην ετι εν τω τοπω οπου ϋπην,εις την κωμην αλλ ην εν τω τοπω οπου υπηντησεν
11,J 11:30,D,ετι,[OMIT],omission,εις τη¯ κωμην αλλ ην ετι εν τω τοπω οπου ϋπην,εις την κωμην αλλα ην εν τω τοπω οπου ϋπηντησεν
11,J 11:30,D,η,[OMIT],omission,τοπω οπου ϋπην τησεν αυτω η μαρθα,τω τοπω οπου ϋπηντησεν αυτω μαρθα
11,J 11:32,P66,[ADD],και,addition,ως ηλθεν οπου ην ις ϊδουσα αυτον ε πεσεν αυτου,ηλ θεν οπου ην ις και ϊδουσα αυ τον επεσεν αυτου
11,J 11:32,P66,προς,εις,substitution_lexical,ϊδουσα αυτον ε πεσεν αυτου προς τους ποδας λεγουσα αυτω κε,ϊδουσα αυ τον επεσεν αυτου εις τους πο' δας λεγουσα κε
11,J 11:32,P66,αυτω,[OMIT],omission,αυτου προς τους ποδας λεγουσα αυτω κε ει ης ωδε ουκ,εις τους πο' δας λεγουσα κε ει ης ωδε ουκ
