chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
17,J 17:10,B,αυτοις,αυ τοις,substitution_morphological,σα εμα και δεδοξασμαι εν αυτοις,σα εμα και δεδοξασμαι εν αυ τοις
17,J 17:10,D,[ADD],εστιν,addition,εστιν και τα σα εμα και δεδοξασμαι εν αυτοις,εστιν και τα σα εμα εστιν και εδοξασας με εν αυτοις
17,J 17:10,D,δεδοξασμαι,εδοξασας με,substitution_morphological,και τα σα εμα και δεδοξασμαι εν αυτοις,τα σα εμα εστιν και εδοξασας με εν αυτοις
17,J 17:11,P66,[ADD],ειμι,addition,και ουκετι εν τω κοσμω ειμι και,και ουκετι ειμι εν τω κοσμω και τω
17,J 17:11,P66,ειμι,[OMIT],omission,και ουκετι εν τω κοσμω ειμι και ου τοι εν τω,ουκετι ειμι εν τω κοσμω και τω κοσμω εισιν και
17,J 17:11,P66,ου τοι εν,[OMIT],omission,εν τω κοσμω ειμι και ου τοι εν τω κοσμω εισιν και ε,ειμι εν τω κοσμω και τω κοσμω εισιν και εγω
17,J 17:11,P66,ε γω,εγω,substitution_morphological,εν τω κοσμω εισιν και ε γω προς σε ερχομαι Περ αγιε,και τω κοσμω εισιν και εγω προς σε ερχομαι περ αγιε
17,J 17:11,P66,[ADD],μου,addition,τηρησον αυτους εν τω ονοματι σου ω δεδωκας μοι ινα,τηρησον αυτους εν τω ονοματι μου σου ω δεδωκας μοι ινα
17,J 17:11,aleph,[ADD],ειμι,addition,και ουκετι εν τω κοσμω ειμι και,και ουκετι ειμι εν τω κοσμω και αυ
17,J 17:11,aleph,ειμι,[OMIT],omission,και ουκετι εν τω κοσμω ειμι και ου τοι εν τω,ουκετι ειμι εν τω κοσμω και αυ τοι εν τω
17,J 17:11,aleph,ου,αυ,substitution_lexical,εν τω κοσμω ειμι και ου τοι εν τω κοσμω εισιν,ειμι εν τω κοσμω και αυ τοι εν τω κοσμω εισιν
17,J 17:11,aleph,και ε γω,καγω,substitution_morphological,τοι εν τω κοσμω εισιν και ε γω προς σε ερχομαι Περ αγιε,τοι εν τω κοσμω εισιν καγω προς σε ερχομαι πατερ αγιε
17,J 17:11,aleph,Περ,πατερ,substitution_morphological,ε γω προς σε ερχομαι Περ αγιε τηρησον αυτους εν τω,εισιν καγω προς σε ερχομαι πατερ αγιε τηρησον αυτους εν τω
17,J 17:11,aleph,δεδωκας,εδωκας,substitution_morphological,εν τω ονοματι σου ω δεδωκας μοι ινα ωσιν εν καθως,εν τω ονοματι σου ω εδωκας μοι ϊ να ωσιν εν
17,J 17:11,aleph,ινα,ϊ να,substitution_morphological,ονοματι σου ω δεδωκας μοι ινα ωσιν εν καθως ημεις,ονοματι σου ω εδωκας μοι ϊ να ωσιν εν καθως ημεις
17,J 17:11,B,εν,ειμι ε¯,substitution_lexical,και ουκετι εν τω κοσμω ειμι και ου,και ουκετι ειμι ε¯ τω κοσμω και αυτοι εν
17,J 17:11,B,ειμι,[OMIT],omission,και ουκετι εν τω κοσμω ειμι και ου τοι εν τω,ουκετι ειμι ε¯ τω κοσμω και αυτοι εν τω κοσμω
17,J 17:11,B,ου τοι,αυτοι,substitution_morphological,εν τω κοσμω ειμι και ου τοι εν τω κοσμω εισιν και,ειμι ε¯ τω κοσμω και αυτοι εν τω κοσμω εισιν καγω
17,J 17:11,B,και ε γω,καγω,substitution_morphological,τοι εν τω κοσμω εισιν και ε γω προς σε ερχομαι Περ αγιε,αυτοι εν τω κοσμω εισιν καγω προς σε ερχομαι πατηρ αγιε
17,J 17:11,B,Περ,πατηρ,substitution_lexical,ε γω προς σε ερχομαι Περ αγιε τηρησον αυτους εν τω,εισιν καγω προς σε ερχομαι πατηρ αγιε τηρησον αυτους εν τω
17,J 17:11,B,ινα ωσιν,ϊνα ωσι¯,substitution_morphological,ονοματι σου ω δεδωκας μοι ινα ωσιν εν καθως ημεις,ονοματι σου ω δεδωκας μοι ϊνα ωσι¯ εν καθως και ημεις
17,J 17:11,B,[ADD],και,addition,μοι ινα ωσιν εν καθως ημεις,μοι ϊνα ωσι¯ εν καθως και ημεις
17,J 17:11,D,[ADD],ειμι εν τουτω τω κοσμω και ουτοι εν τω κοσμω εισιν καγω προς σε ερχομαι ουκετι ειμι εν τω κοσμω και,addition,και ουκετι εν τω κοσμω ειμι και,και ουκετι ειμι εν τουτω τω κοσμω και ουτοι εν τω κοσμω εισιν καγω προς σε ερχομαι ουκετι ειμι εν τω κοσμω και εν τω κοσμω ειμι πατερ
17,J 17:11,D,και ου τοι εν τω κοσμω εισιν και ε γω προς σε ερχομαι Περ,πατερ,substitution_lexical,ουκετι εν τω κοσμω ειμι και ου τοι εν τω κοσμω εισιν και ε γω προς σε ερχομαι Περ αγιε τηρησον αυτους εν τω,και εν τω κοσμω ειμι πατερ αγιε τηρησον αυτους εν τω
